ticker,company_name,sector,market_cap_category,has_market_cap,has_annual_financials,deactivated_on
AMERISE,AMERISE BIOSCIENCES LIMITED,,,FALSE,FALSE,2026-04-30
AMEYA,,,,FALSE,FALSE,2026-04-30
AMFORG,AMFORGE INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
AMIABLE,,,,FALSE,FALSE,2026-04-30
AMIORG,,,,FALSE,FALSE,2026-04-30
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,Consumer Defensive,,FALSE,TRUE,2026-04-30
AMRAAGRI,AMRAWORLD AGRICO LTD.,,,FALSE,FALSE,2026-04-30
AMRAPLIN,AMRAPALI INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
ANDHRACEMT,,Construction Materials,,FALSE,TRUE,2026-04-30
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,,,FALSE,FALSE,2026-04-30
ANDREWYU.BO,ANDREW YULE & COMPANY LTD.,,,FALSE,FALSE,2026-04-30
ANG,ANG Lifesciences India Limited,,,FALSE,FALSE,2026-04-30
ANGELBRKG,,,,FALSE,FALSE,2026-04-30
ANJANI,ANJANI SYNTHETICS LTD.,,,FALSE,FALSE,2026-04-30
ANJANIFIN,ANJANI FINANCE LTD.,,,FALSE,FALSE,2026-04-30
ANJANIFOODS,Anjani Foods Limited,,,FALSE,FALSE,2026-04-30
ANLON,,,,FALSE,FALSE,2026-04-30
ANNAINFRA,ANNA INFRASTRUCTURES LTD.,,,FALSE,FALSE,2026-04-30
ANNAPURNA,,,,FALSE,FALSE,2026-04-30
ANONDITA,,,,FALSE,FALSE,2026-04-30
ANSALBU,ANSAL BUILDWELL LTD.,,,FALSE,FALSE,2026-04-30
ANSALHSG,,Real Estate,,FALSE,TRUE,2026-04-30
ANSALHSG.BO,ANSAL HOUSING LIMITED,,,FALSE,FALSE,2026-04-30
ANUPAM,ANUPAM FINSERV LIMITED,,,FALSE,FALSE,2026-04-30
ANUROOP,Anuroop Packaging Limited,,,FALSE,FALSE,2026-04-30
ANYA,,,,FALSE,FALSE,2026-04-30
AONEGOLD,,Financial Services,,FALSE,FALSE,2026-04-30
AONELIQUID,,Financial Services,,FALSE,FALSE,2026-04-30
AONENIFTY,,Financial Services,,FALSE,FALSE,2026-04-30
AONESILVER,,Financial Services,,FALSE,FALSE,2026-04-30
AONETMMQ50,,Financial Services,,FALSE,FALSE,2026-04-30
AONETOTAL,,Financial Services,,FALSE,FALSE,2026-04-30
APEXECO,,,,FALSE,FALSE,2026-04-30
APLAB,APLAB LTD.,INDUSTRIAL MANUFACTURING,,FALSE,TRUE,2026-04-30
APLABPP,Aplab Ltd.,,,FALSE,FALSE,2026-04-30
APMIN,APM INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
APOLLOFI,APOLLO FINVEST (INDIA) LTD.,,,FALSE,FALSE,2026-04-30
APOORVA,Apoorva Leasing Finance & Inve,,,FALSE,FALSE,2026-04-30
APRAMEYA,,,,FALSE,FALSE,2026-04-30
APS,,,,FALSE,FALSE,2026-04-30
ARABIAN,,,,FALSE,FALSE,2026-04-30
ARCHITORG,ARCHIT ORGANOSYS LTD.,,,FALSE,FALSE,2026-04-30
ARCIIL,,,,FALSE,FALSE,2026-04-30
ARCL,ARCL Organics Ltd,,,FALSE,FALSE,2026-04-30
ARHAM,,,,FALSE,FALSE,2026-04-30
ARIGATO,ARIGATO UNIVERSE LIMITED,,,FALSE,FALSE,2026-04-30
ARIHANT,Arihant Foundations & Housing Limited,CONSTRUCTION,,FALSE,TRUE,2026-04-30
ARIHANTACA,,,,FALSE,FALSE,2026-04-30
ARISE,ARIHANTS SECURITIES LTD.,,,FALSE,FALSE,2026-04-30
ARISTO,,,,FALSE,FALSE,2026-04-30
ARL,Anand Rayons Limited,,,FALSE,FALSE,2026-04-30
ARMAN,ARMAN HOLDINGS LTD,,,FALSE,FALSE,2026-04-30
ARNOLD,ARNOLD HOLDINGS LTD,,,FALSE,FALSE,2026-04-30
ARTEFACT,ARTEFACT PROJECTS LTD.,,,FALSE,FALSE,2026-04-30
ARTEMISMED,Artemis Medicare Services Limited,Healthcare,,FALSE,TRUE,2026-04-30
ARTSON,ARTSON LIMITED,,,FALSE,FALSE,2026-04-30
ARUNAHTEL,ARUNA HOTELS LTD.,,,FALSE,FALSE,2026-04-30
ARUNAYA,,,,FALSE,FALSE,2026-04-30
ARVINDPORT,,,,FALSE,FALSE,2026-04-30
ARYACAPM,Aryaman Capital Markets Limite,,,FALSE,FALSE,2026-04-30
ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD,,,FALSE,FALSE,2026-04-30
ARYAN,Aryan Share & Stock Brokers Lt,,,FALSE,FALSE,2026-04-30
ARYAVAN,ARYAVAN ENTERPRISE LIMITED,,,FALSE,FALSE,2026-04-30
ASCOM,,,,FALSE,FALSE,2026-04-30
ASGARD,ASGARD ALCOBEV LIMITED,,,FALSE,FALSE,2026-04-30
ASHAI,ASHIANA AGRO INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
ASHALOG,,,,FALSE,FALSE,2026-04-30
ASHCAP,ASHIRWAD CAPITAL LTD.,,,FALSE,FALSE,2026-04-30
ASHIKA,Ashika Credit Capital Limited,Financial Services,,FALSE,FALSE,2026-04-30
ASHISHPO,ASHISH POLYPLAST LTD.,,,FALSE,FALSE,2026-04-30
ASHNI,Ashnisha Industries Limited,,,FALSE,FALSE,2026-04-30
ASHNOOR,ASHNOOR TEXTILE MILLS LTD.,,,FALSE,FALSE,2026-04-30
ASHRAM,ASHRAM ONLINE.COM LTD.,,,FALSE,FALSE,2026-04-30
ASHSI,ASHIRWAD STEELS & INDUSTRIES L,,,FALSE,FALSE,2026-04-30
ASHWINI,,,,FALSE,FALSE,2026-04-30
ASIAN,Asian Warehousing Limited,,,FALSE,FALSE,2026-04-30
ASIANTNE,ASIAN TEA & EXPORTS LTD.,,,FALSE,FALSE,2026-04-30
ASIAPAK,ASIA PACK LTD.,,,FALSE,FALSE,2026-04-30
ASIIL,ASI INDUSTRIES LIMITED,,,FALSE,FALSE,2026-04-30
ASINPET,ASIAN PETROPRODUCTS & EXPORTS,,,FALSE,FALSE,2026-04-30
ASMTEC,ASM TECHNOLOGIES LTD.,,,FALSE,FALSE,2026-04-30
ASPIRA,Aspira Pathlab & Diagnostics L,,,FALSE,FALSE,2026-04-30
ASPIRE,,,,FALSE,FALSE,2026-04-30
ASRL,Add-Shop E-Retail Limited,,,FALSE,FALSE,2026-04-30
ASSOCER,ASSOCIATED CERAMICS LTD.,,,FALSE,FALSE,2026-04-30
ASTALLTD,ASTAL LABORATORIES LIMITED,,,FALSE,FALSE,2026-04-30
ASTAR,Asian Star Company Limited,Consumer Durables,,FALSE,FALSE,2026-04-30
ATCENERGY,,,,FALSE,FALSE,2026-04-30
ATFL,,,,FALSE,FALSE,2026-04-30
ATHARVENT,ATHARV ENTERPRISES LTD.,,,FALSE,FALSE,2026-04-30
ATHENAGLO,Athena Global Technologies Lim,,,FALSE,FALSE,2026-04-30
ATISHAY,Atishay Limited,,,FALSE,FALSE,2026-04-30
ATLANTA,,,,FALSE,FALSE,2026-04-30
ATLPP,Allcargo Terminals Limited,,,FALSE,FALSE,2026-04-30
ATMASTCO,,,,FALSE,FALSE,2026-04-30
ATVPR,ATV PROJECTS INDIA LTD.,,,FALSE,FALSE,2026-04-30
AUROIMPEX,,,,FALSE,FALSE,2026-04-30
AUSL,,,,FALSE,FALSE,2026-04-30
AUSTENG,AUSTIN ENGINEERING CO.LTD.,,,FALSE,FALSE,2026-04-30
AUTOIETF,,,,FALSE,FALSE,2026-04-30
AUTOPINS,AUTO PINS (INDIA) LTD.,,,FALSE,FALSE,2026-04-30
AVAILFC,Available Finance Limited,Financial Services,,FALSE,FALSE,2026-04-30
AVATAR,,,,FALSE,FALSE,2026-04-30
AVEER,Aveer Foods Limited,,,FALSE,FALSE,2026-04-30
AVIANSH,,,,FALSE,FALSE,2026-04-30
AVIVA,AVIVA INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
AVPINFRA,,,,FALSE,FALSE,2026-04-30
AXELPOLY,AXEL POLYMERS LTD.,,,FALSE,FALSE,2026-04-30
AXISCETF,,,,FALSE,FALSE,2026-04-30
AXISGOLD,,Financial Services,,FALSE,FALSE,2026-04-30
AXISHCETF,,,,FALSE,FALSE,2026-04-30
AXISILVER,,Financial Services,,FALSE,FALSE,2026-04-30
AXISNIFTY,,Financial Services,,FALSE,FALSE,2026-04-30
AXISTECETF,,,,FALSE,FALSE,2026-04-30
AXISVALUE,,Financial Services,,FALSE,FALSE,2026-04-30
AXISVALUE.BO,Axis Mutual Fund,,,FALSE,FALSE,2026-04-30
AXSENSEX,,Financial Services,,FALSE,FALSE,2026-04-30
AXSENSEX.BO,Axis Mutual Fund,,,FALSE,FALSE,2026-04-30
AXTEL,AXTEL INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
AZADIND,AZAD INDIA MOBILITY LIMITED,,,FALSE,FALSE,2026-04-30
BABAFP,,,,FALSE,FALSE,2026-04-30
BAGDIGITAL,,,,FALSE,FALSE,2026-04-30
BAHETI,,,,FALSE,FALSE,2026-04-30
BAJAJST,Bajaj Steel Industries Limited,Capital Goods,,FALSE,FALSE,2026-04-30
BALAJIPHOS,,,,FALSE,FALSE,2026-04-30
BALCO,,,,FALSE,FALSE,2026-04-30
BALGOPAL,Balgopal Commercial limited,,,FALSE,FALSE,2026-04-30
BAMBINO,BAMBINO AGRO INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
BAMPSL,BAMPSL SECURITIES LTD.,,,FALSE,FALSE,2026-04-30
BANASFN,BANAS FINANCE LTD.,,,FALSE,FALSE,2026-04-30
BANDARAM,BANDARAM PHARMA PACKTECH LIMIT,,,FALSE,FALSE,2026-04-30
BANK10ADD,,Financial Services,,FALSE,FALSE,2026-04-30
BANK10ADD.BO,DSP Mutual Fund,,,FALSE,FALSE,2026-04-30
BANKADD,,Financial Services,,FALSE,FALSE,2026-04-30
BANKADD.BO,DSP Mutual Fund,,,FALSE,FALSE,2026-04-30
BANKBEES,,Financial Services,,FALSE,FALSE,2026-04-30
BANKBEES.BO,NIPPON INDIA ETF BANK BEES,,,FALSE,FALSE,2026-04-30
BANKBETA,,Financial Services,,FALSE,FALSE,2026-04-30
BANKBETA.BO,UTI Mutual Fund,,,FALSE,FALSE,2026-04-30
